wavelength,CES01,CES02,CES03,CES04,CES05,CES06,CES07,CES08,CES09,CES10,CES11,CES12,CES13,CES14,CES15,CES16,CES17,CES18,CES19,CES20,CES21,CES22,CES23,CES24,CES25,CES26,CES27,CES28,CES29,CES30,CES31,CES32,CES33,CES34,CES35,CES36,CES37,CES38,CES39,CES40,CES41,CES42,CES43,CES44,CES45,CES46,CES47,CES48,CES49,CES50,CES51,CES52,CES53,CES54,CES55,CES56,CES57,CES58,CES59,CES60,CES61,CES62,CES63,CES64,CES65,CES66,CES67,CES68,CES69,CES70,CES71,CES72,CES73,CES74,CES75,CES76,CES77,CES78,CES79,CES80,CES81,CES82,CES83,CES84,CES85,CES86,CES87,CES88,CES89,CES90,CES91,CES92,CES93,CES94,CES95,CES96,CES97,CES98,CES99
380,0.6359,0.2615,1e-05,0.47376,0.13351,0.04525,0.0583,0.05818,0.04157,0.19983,0.03951,0.24167,0.04337,0.3414,0.16992,0.03466,0.0308,0.0731,0.1202,0.02509,0.12356,0.00012,0.37853,0.2515,0.10281,0.1688,0.06462,0.0458,0.03981,0.03043,0.04401,0.0429,0.17315,0.04389,0.05245,0.03431,0.05028,0.11323,0.04566,0.075,0.4098,0.06598,0.0671,0.0439,0.0554,0.1126,0.1446,0.08776,0.00057,0.07883,0.0995,0.0586,0.0779,0.4719,0.30073,0.2315,0.1347,0.10606,0.4345,0.4371,0.28873,0.17009,0.02353,0.22326,0.00602,0.1249,0.147,0.22149,0.13225,0.31794,0.0504,0.37756,0.1616,0.03388,0.0509,0.2886,0.02805,0.12947,0.56749,0.31684,0.12067,0.7365,0.5957,0.03375,0.01425,0.50252,0.10613,0.4264,0.07275,0.2617,0.02966,0.00526,0.23077,0.06102,0.07372,0.33851,0.1766,0.3104,0.2092
385,0.6359,0.2615,0.00663,0.47793,0.1354,0.05337,0.0583,0.05961,0.04172,0.19983,0.04449,0.21622,0.04333,0.3414,0.17295,0.03537,0.0331,0.0731,0.1202,0.02701,0.13071,0.01062,0.40061,0.2515,0.09292,0.1688,0.065,0.04489,0.04155,0.03198,0.04373,0.0429,0.17955,0.04389,0.05245,0.03707,0.05023,0.11525,0.04573,0.07502,0.4098,0.06537,0.0671,0.0439,0.05519,0.1126,0.1446,0.08843,0.00739,0.08225,0.10406,0.05842,0.0779,0.4719,0.32661,0.2315,0.1347,0.11035,0.4345,0.47272,0.30831,0.1793,0.02714,0.22326,0.00905,0.1249,0.147,0.23594,0.13933,0.34608,0.0504,0.39319,0.18016,0.03483,0.0509,0.2886,0.03537,0.14167,0.57857,0.34433,0.17602,0.7365,0.5957,0.03555,0.01292,0.514,0.11586,0.44033,0.08208,0.2617,0.03379,0.02448,0.24352,0.06701,0.09065,0.36145,0.1766,0.3104,0.2092
390,0.6359,0.2615,0.01694,0.46406,0.13565,0.06285,0.0583,0.05984,0.04187,0.19983,0.05006,0.18687,0.04328,0.3414,0.17602,0.03609,0.03556,0.0731,0.1202,0.02908,0.13822,0.02084,0.41716,0.2515,0.08404,0.1688,0.0662,0.04394,0.04336,0.03135,0.04499,0.0429,0.18551,0.04389,0.05245,0.04283,0.05019,0.10979,0.0458,0.07503,0.4098,0.06477,0.0671,0.0439,0.05609,0.1126,0.1446,0.08933,0.01389,0.0858,0.1088,0.05824,0.0779,0.4719,0.34992,0.2315,0.1347,0.11514,0.4345,0.50312,0.3286,0.1889,0.03128,0.22326,0.0136,0.1249,0.147,0.25104,0.14672,0.37534,0.0504,0.40905,0.20034,0.03581,0.0509,0.2886,0.05422,0.15481,0.58956,0.36972,0.23298,0.7365,0.5957,0.03745,0.01731,0.52546,0.12635,0.45435,0.09249,0.2617,0.04777,0.05165,0.25636,0.07354,0.111,0.38504,0.1766,0.3104,0.2092
395,0.6359,0.2615,0.01773,0.44102,0.1354,0.07388,0.0583,0.05941,0.04202,0.19983,0.05629,0.16204,0.04324,0.3414,0.17913,0.03682,0.0382,0.0731,0.1202,0.03129,0.14608,0.03107,0.43082,0.2515,0.07621,0.1688,0.06758,0.04317,0.04525,0.02956,0.04761,0.0429,0.19147,0.04389,0.05245,0.05358,0.05014,0.09541,0.04588,0.07504,0.4098,0.06418,0.0671,0.0439,0.05723,0.1126,0.1446,0.09022,0.02038,0.08949,0.11373,0.05806,0.0779,0.4719,0.3723,0.2315,0.1347,0.1202,0.4345,0.53129,0.34955,0.19888,0.03604,0.22326,0.02039,0.1249,0.147,0.26676,0.15443,0.40554,0.0504,0.42509,0.22217,0.03682,0.0509,0.2886,0.0783,0.16893,0.60046,0.39599,0.27447,0.7365,0.5957,0.03943,0.02444,0.53689,0.13764,0.46845,0.10408,0.2617,0.07917,0.07373,0.2692,0.08065,0.13525,0.40918,0.1766,0.3104,0.2092
400,0.6359,0.2615,0.01167,0.42157,0.13579,0.08249,0.0583,0.05886,0.04225,0.19983,0.06081,0.14514,0.04327,0.3414,0.18141,0.03767,0.04031,0.0731,0.1202,0.03197,0.14874,0.04157,0.44274,0.2515,0.06814,0.1688,0.06839,0.04467,0.04798,0.02799,0.05142,0.0429,0.19787,0.04389,0.05245,0.07506,0.05,0.08689,0.04606,0.07522,0.4098,0.06374,0.0671,0.0439,0.0576,0.1126,0.1446,0.09089,0.0272,0.09339,0.11889,0.05802,0.0779,0.4719,0.39416,0.2315,0.1347,0.12531,0.4345,0.55735,0.36977,0.20849,0.03956,0.22326,0.02949,0.1249,0.147,0.28245,0.1622,0.43537,0.0504,0.44022,0.23998,0.03783,0.0509,0.2886,0.10593,0.1812,0.60662,0.42314,0.30442,0.7365,0.5957,0.04138,0.03831,0.54636,0.14596,0.4749,0.11546,0.2617,0.13075,0.0967,0.28195,0.0881,0.16428,0.43394,0.1766,0.3104,0.2092
405,0.64015,0.26409,0.00511,0.40559,0.13757,0.10382,0.05786,0.05858,0.04229,0.20628,0.07233,0.12981,0.04311,0.34301,0.18593,0.03829,0.04443,0.07538,0.12316,0.03714,0.16578,0.05232,0.45364,0.26605,0.0624,0.16558,0.07185,0.0465,0.04887,0.02943,0.05624,0.04206,0.2047,0.04397,0.05239,0.09776,0.05009,0.08224,0.04597,0.07498,0.41775,0.06292,0.06228,0.04451,0.05773,0.11615,0.14514,0.09134,0.03434,0.09727,0.12416,0.05765,0.0793,0.48883,0.41553,0.25503,0.13984,0.13033,0.51357,0.58083,0.39383,0.22043,0.0488,0.23893,0.04609,0.13231,0.15842,0.30036,0.17098,0.46845,0.05485,0.45815,0.2737,0.03893,0.05866,0.31111,0.13046,0.20172,0.62422,0.45025,0.32357,0.74377,0.60396,0.04379,0.0494,0.56056,0.16476,0.50054,0.13191,0.27271,0.17691,0.12048,0.2946,0.09694,0.19678,0.45859,0.19451,0.32028,0.22044
410,0.6454,0.267,0.00379,0.3895,0.14001,0.11965,0.0573,0.05836,0.04246,0.21152,0.08032,0.11536,0.04307,0.3451,0.18883,0.0391,0.04751,0.0785,0.1259,0.03952,0.17316,0.06229,0.46388,0.2812,0.06158,0.1616,0.08117,0.04793,0.05115,0.03159,0.06182,0.0411,0.21023,0.04404,0.05217,0.12729,0.05,0.08142,0.04606,0.07502,0.4269,0.06235,0.0562,0.0452,0.05841,0.1202,0.1458,0.09245,0.04051,0.10142,0.12971,0.0575,0.0812,0.5116,0.43632,0.28201,0.146,0.1355,0.6042,0.60183,0.41611,0.23133,0.05538,0.25743,0.06811,0.1413,0.1722,0.31769,0.17961,0.49988,0.0617,0.47443,0.29807,0.04001,0.0691,0.3396,0.15591,0.21754,0.63353,0.47575,0.33682,0.7532,0.6132,0.04605,0.06324,0.57138,0.17753,0.51283,0.14757,0.2838,0.22905,0.14705,0.30754,0.10607,0.23541,0.48408,0.2147,0.33277,0.2319
415,0.64888,0.26834,0.00874,0.37567,0.14195,0.13053,0.05692,0.05797,0.04275,0.20944,0.08522,0.10584,0.0432,0.34676,0.19137,0.04003,0.04967,0.0813,0.12589,0.03916,0.17444,0.07033,0.47366,0.28563,0.05854,0.159,0.09389,0.04699,0.05478,0.03054,0.06809,0.04069,0.21321,0.04401,0.0517,0.16371,0.04991,0.08681,0.04634,0.07534,0.43209,0.06213,0.05196,0.04555,0.059,0.12231,0.14646,0.09578,0.04446,0.10575,0.13543,0.05753,0.08291,0.53114,0.45652,0.29616,0.14999,0.14114,0.65038,0.62063,0.43654,0.24199,0.05973,0.26842,0.09024,0.14721,0.18102,0.33467,0.18831,0.5299,0.06943,0.48877,0.32072,0.04112,0.07815,0.36066,0.1814,0.23408,0.63805,0.49823,0.34501,0.76059,0.61739,0.0483,0.07955,0.57981,0.18653,0.51584,0.16011,0.28598,0.28446,0.17355,0.3213,0.11496,0.27695,0.50808,0.22438,0.34184,0.23457
420,0.6507,0.2684,0.01888,0.36501,0.14194,0.13699,0.0568,0.05769,0.04318,0.20352,0.08742,0.1043,0.04357,0.3482,0.19479,0.04104,0.05105,0.0841,0.1245,0.03614,0.17316,0.07607,0.48294,0.2838,0.05464,0.1581,0.11434,0.04621,0.05972,0.03068,0.07569,0.041,0.21595,0.044,0.05108,0.20727,0.05,0.10151,0.04678,0.07595,0.4368,0.06235,0.0497,0.0457,0.06076,0.1235,0.1484,0.10461,0.04633,0.11016,0.14122,0.05771,0.0848,0.5488,0.47668,0.30297,0.1536,0.14747,0.6645,0.63777,0.45502,0.25317,0.06229,0.27548,0.10713,0.1518,0.1872,0.35149,0.19733,0.55872,0.0786,0.50091,0.3493,0.0423,0.0867,0.3777,0.20586,0.25676,0.64127,0.51751,0.34763,0.7666,0.618,0.05071,0.09523,0.58686,0.19401,0.51363,0.16724,0.2822,0.34279,0.19903,0.33662,0.12312,0.31816,0.5283,0.2275,0.34836,0.2316
425,0.65147,0.26779,0.02972,0.35611,0.13887,0.13975,0.05694,0.05777,0.04374,0.1985,0.08748,0.09871,0.04419,0.34976,0.20029,0.04212,0.05186,0.08752,0.12359,0.03094,0.1722,0.07961,0.49171,0.28249,0.05502,0.15881,0.14548,0.044,0.06611,0.0351,0.08532,0.04209,0.22112,0.04411,0.05042,0.25618,0.05039,0.12741,0.04741,0.07683,0.44546,0.06307,0.04885,0.04589,0.06181,0.12532,0.15294,0.12154,0.04675,0.11458,0.14703,0.05801,0.08736,0.56754,0.49725,0.3113,0.15934,0.15464,0.67117,0.65381,0.47151,0.26551,0.06356,0.28427,0.11533,0.1578,0.19467,0.36826,0.20679,0.58644,0.09002,0.51073,0.38927,0.0436,0.0965,0.39675,0.22735,0.2894,0.64576,0.53377,0.35069,0.77259,0.61762,0.05334,0.11233,0.59284,0.20193,0.50938,0.16828,0.27711,0.4011,0.22337,0.35357,0.13016,0.35643,0.5434,0.23063,0.35424,0.22794
