wavelength,value
380,0.57
381,0.596
382,0.622
383,0.6479999999999999
384,0.6739999999999999
385,0.7
386,0.734
387,0.768
388,0.8019999999999999
389,0.836
390,0.87
391,0.892
392,0.914
393,0.9359999999999999
394,0.958
395,0.98
396,1.186
397,1.392
398,1.5979999999999999
399,1.8039999999999998
400,2.01
401,4.358
402,6.7059999999999995
403,9.053999999999998
404,11.402
405,13.75
406,11.39
407,9.03
408,6.669999999999999
409,4.309999999999999
410,1.95
411,1.878
412,1.806
413,1.734
414,1.662
415,1.59
416,1.624
417,1.6580000000000001
418,1.692
419,1.726
420,1.76
421,1.794
422,1.828
423,1.8619999999999999
424,1.896
425,1.93
426,1.964
427,1.998
428,2.032
429,2.066
430,2.1
431,7.736000000000001
432,13.372
433,19.008
434,24.644000000000002
435,30.28
436,25.830000000000002
437,21.380000000000003
438,16.93
439,12.48
440,8.03
441,6.933999999999999
442,5.837999999999999
443,4.742
444,3.646
445,2.55
446,2.58
447,2.61
448,2.64
449,2.67
450,2.7
451,2.724
452,2.748
453,2.772
454,2.796
455,2.82
456,2.838
457,2.856
458,2.874
459,2.892
460,2.91
461,2.926
462,2.942
463,2.958
464,2.974
465,2.99
466,3.0
467,3.0100000000000002
468,3.02
469,3.0300000000000002
470,3.04
471,3.048
472,3.056
473,3.064
474,3.072
475,3.08
476,3.082
477,3.084
478,3.086
479,3.088
480,3.09
481,3.09
482,3.09
483,3.09
484,3.09
485,3.09
486,3.1
487,3.11
488,3.12
489,3.13
490,3.14
491,3.124
492,3.108
493,3.092
494,3.076
495,3.06
496,3.048
497,3.036
498,3.024
499,3.012
500,3.0
501,2.996
502,2.992
503,2.988
504,2.984
505,2.98
506,2.9859999999999998
507,2.992
508,2.9979999999999998
509,3.004
510,3.01
511,3.036
512,3.062
513,3.088
514,3.114
515,3.14
516,3.194
517,3.248
518,3.302
519,3.3560000000000003
520,3.41
521,3.508
522,3.606
523,3.704
524,3.802
525,3.9
526,4.058
527,4.216
528,4.3740000000000006
529,4.532
530,4.69
531,4.914000000000001
532,5.138
533,5.362
534,5.585999999999999
535,5.81
536,6.112
537,6.414
538,6.716
539,7.018000000000001
540,7.32
541,10.374
542,13.428
543,16.482
544,19.536
545,22.59
546,21.094
547,19.598
548,18.102
549,16.606
550,15.11
551,14.863999999999999
552,14.618
553,14.372
554,14.126000000000001
555,13.88
556,14.370000000000001
557,14.86
558,15.35
559,15.839999999999998
560,16.33
561,16.799999999999997
562,17.27
563,17.74
564,18.21
565,18.68
566,19.072
567,19.464
568,19.856
569,20.248
570,20.64
571,21.368000000000002
572,22.096
573,22.824
574,23.552
575,24.28
576,24.676000000000002
577,25.072000000000003
578,25.468
579,25.864
580,26.26
581,25.664
582,25.068
583,24.472
584,23.876
585,23.28
586,23.212
587,23.144000000000002
588,23.076
589,23.008000000000003
590,22.94
591,22.78
592,22.62
593,22.46
594,22.3
595,22.14
596,21.894000000000002
597,21.648
598,21.402
599,21.156
600,20.91
601,20.614
602,20.318
603,20.022
604,19.726
605,19.43
606,19.092
607,18.753999999999998
608,18.416
609,18.078
610,17.74
611,17.392
612,17.044
613,16.695999999999998
614,16.348
615,16.0
616,15.684
617,15.368
618,15.052
619,14.736
620,14.42
621,14.048
622,13.676
623,13.304
624,12.932
625,12.56
626,12.234
627,11.908
628,11.582
629,11.256
630,10.93
631,10.648
632,10.366
633,10.084
634,9.802
635,9.52
636,9.251999999999999
637,8.984
638,8.716
639,8.448
640,8.18
641,7.946
642,7.712
643,7.478
644,7.244
645,7.01
646,6.808
647,6.606
648,6.404
649,6.202
650,6.0
651,5.822
652,5.644
653,5.466
654,5.288
655,5.11
656,4.96
657,4.8100000000000005
658,4.66
659,4.510000000000001
660,4.36
661,4.226
662,4.0920000000000005
663,3.958
664,3.824
665,3.69
666,3.578
667,3.4659999999999997
668,3.354
669,3.242
670,3.13
671,3.032
672,2.934
673,2.836
674,2.738
675,2.64
676,2.56
677,2.48
678,2.4000000000000004
679,2.3200000000000003
680,2.24
681,2.1740000000000004
682,2.108
683,2.042
684,1.976
685,1.91
686,1.8679999999999999
687,1.8259999999999998
688,1.784
689,1.742
690,1.7
691,1.638
692,1.5759999999999998
693,1.514
694,1.452
695,1.39
696,1.3479999999999999
697,1.3059999999999998
698,1.264
699,1.222
700,1.18
701,1.15
702,1.1199999999999999
703,1.09
704,1.06
705,1.03
706,1.0
707,0.97
708,0.9400000000000001
709,0.91
710,0.88
711,0.852
712,0.824
713,0.796
714,0.768
715,0.74
716,0.72
717,0.7
718,0.68
719,0.66
720,0.64
721,0.62
722,0.6
723,0.5800000000000001
724,0.56
725,0.54
726,0.53
727,0.52
728,0.51
729,0.5
730,0.49
731,0.484
732,0.478
733,0.47200000000000003
734,0.466
735,0.46
736,0.452
737,0.444
738,0.436
739,0.428
740,0.42
741,0.41
742,0.39999999999999997
743,0.39
744,0.38
745,0.37
746,0.37
747,0.37
748,0.37
749,0.37
750,0.37
751,0.362
752,0.354
753,0.34600000000000003
754,0.338
755,0.33
756,0.334
757,0.338
758,0.34199999999999997
759,0.346
760,0.35
761,0.352
762,0.354
763,0.356
764,0.358
765,0.36
766,0.35
767,0.33999999999999997
768,0.33
769,0.32
770,0.31
771,0.3
772,0.29
773,0.28
774,0.27
775,0.26
776,0.246
777,0.232
778,0.218
779,0.20400000000000001
780,0.19
